Sr. No.,State,City,Station Name,Current_AQI_value
432,Uttar Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",111
433,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",85
434,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",80
435,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB",47
436,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",176
437,West Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",205
438,West Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",85
439,West Bengal,Howrah,"Belur Math, Howrah - WBPCB",Insufficient data available in last 24 hours.
440,West Bengal,Howrah,"Ghusuri, Howrah - WBPCB",129
441,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB",101
442,West Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",76
443,West Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",90
444,West Bengal,Kolkata,"Fort William, Kolkata - WBPCB",81
445,West Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",89
446,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",113
447,West Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",64
448,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",83
449,West Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",59
